NAME,playerID,yearID,stint,teamID,lgID,G,G_batting,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,G_old
"Jeff Abbott","abbotje01","1997","1","CHA","AL","19","19","38","8","10","1","0","1","2","0","0","0","6","0","0","0","0","3","19"
"Jeff Abbott","abbotje01","1998","1","CHA","AL","89","89","244","33","68","14","1","12","41","3","3","9","28","1","0","2","5","2","89"
"Kurt Abbott","abbotku01","1995","1","FLO","NL","120","120","420","60","107","18","7","17","60","4","3","36","110","4","5","2","5","6","120"
"Kurt Abbott","abbotku01","1996","1","FLO","NL","109","109","320","37","81","18","7","8","33","3","3","22","99","1","3","4","0","7","109"
"Kurt Abbott","abbotku01","1997","1","FLO","NL","94","94","252","35","69","18","2","6","30","3","1","14","68","3","1","6","0","5","94"
"Kurt Abbott","abbotku01","1998","2","COL","NL","42","42","71","9","18","6","0","3","15","0","0","2","19","0","1","0","2","2","42"
"Bobby Abreu","abreubo01","1996","1","HOU","NL","15","15","22","1","5","1","0","0","1","0","0","2","3","0","0","0","0","1","15"
"Bobby Abreu","abreubo01","1997","1","HOU","NL","59","59","188","22","47","10","2","3","26","7","2","21","48","0","1","0","0","0","59"
"Mike Aldrete","aldremi01","1995","1","OAK","AL","60","60","125","18","34","8","0","4","21","0","0","19","23","1","1","0","2","3","60"
"Mike Aldrete","aldremi01","1995","2","CAL","AL","18","18","24","1","6","0","0","0","3","0","0","0","8","0","0","0","1","1","18"
"Mike Aldrete","aldremi01","1996","1","CAL","AL","31","31","40","5","6","1","0","3","8","0","0","5","4","0","0","0","1","3","31"
"Manny Alexander","alexama02","1995","1","BAL","AL","94","94","242","35","57","9","1","3","23","11","4","20","30","0","2","4","0","2","94"
"Manny Alexander","alexama02","1997","1","NYN","NL","54","54","149","26","37","9","3","2","15","11","0","9","38","1","1","1","1","3","54"
"Manny Alexander","alexama02","1997","2","CHN","NL","33","33","99","11","29","3","1","1","7","2","1","8","16","2","2","2","0","3","33"
"Manny Alexander","alexama02","1998","1","CHN","NL","108","108","264","34","60","10","1","5","25","4","1","18","66","1","1","5","1","6","108"
"Edgardo Alfonzo","alfoned01","1995","1","NYN","NL","101","101","335","26","93","13","5","4","41","1","1","12","37","1","1","4","4","7","101"
"Edgardo Alfonzo","alfoned01","1996","1","NYN","NL","123","123","368","36","96","15","2","4","40","2","0","25","56","2","0","9","5","8","123"
"Edgardo Alfonzo","alfoned01","1997","1","NYN","NL","151","151","518","84","163","27","2","10","72","11","6","63","56","0","5","8","5","4","151"
"Luis Alicea","alicelu01","1995","1","BOS","AL","132","132","419","64","113","20","3","6","44","13","10","63","61","0","7","13","9","10","132"
"Luis Alicea","alicelu01","1996","1","SLN","NL","129","129","380","54","98","26","3","5","42","11","3","52","78","9","5","4","6","4","129"
"Luis Alicea","alicelu01","1997","1","ANA","AL","128","128","388","59","98","16","7","5","37","22","8","69","65","3","8","4","2","4","128"
"Andy Allanson","allanan01","1995","1","CAL","AL","35","35","82","5","14","3","0","3","10","0","1","7","12","0","1","1","0","0","35"
"Jermaine Allensworth","allenje01","1996","1","PIT","NL","61","61","229","32","60","9","3","4","31","11","6","23","50","0","4","2","2","2","61"
"Jermaine Allensworth","allenje01","1997","1","PIT","NL","108","108","369","55","94","18","2","3","43","14","7","44","79","1","7","9","6","5","108"
"Roberto Alomar","alomaro01","1995","1","TOR","AL","130","130","517","71","155","24","7","13","66","30","3","47","45","3","0","6","7","16","130"
"Roberto Alomar","alomaro01","1996","1","BAL","AL","153","153","588","132","193","43","4","22","94","17","6","90","65","10","1","8","12","14","153"
"Roberto Alomar","alomaro01","1997","1","BAL","AL","112","112","412","64","137","23","2","14","60","9","3","40","43","2","3","7","7","10","112"
"Roberto Alomar","alomaro01","1998","1","BAL","AL","147","147","588","86","166","36","1","14","56","18","5","59","70","3","2","3","5","11","147"
"Sandy Alomar","alomasa02","1995","1","CLE","AL","66","66","203","32","61","6","0","10","35","3","1","7","26","0","3","4","1","8","66"
"Sandy Alomar","alomasa02","1996","1","CLE","AL","127","127","418","53","110","23","0","11","50","1","0","19","42","0","3","2","2","20","127"
"Sandy Alomar","alomasa02","1997","1","CLE","AL","125","125","451","63","146","37","0","21","83","0","2","19","48","2","3","6","1","16","125"
"Sandy Alomar","alomasa02","1998","1","CLE","AL","117","117","409","45","96","26","2","6","44","0","3","18","45","0","3","5","3","15","117"
"Moises Alou","aloumo01","1995","1","MON","NL","93","93","344","48","94","22","0","14","58","4","3","29","56","6","9","0","4","9","93"
"Moises Alou","aloumo01","1996","1","MON","NL","143","143","540","87","152","28","2","21","96","9","4","49","83","7","2","0","7","15","143"
"Moises Alou","aloumo01","1997","1","FLO","NL","150","150","538","88","157","29","5","23","115","9","5","70","85","9","4","0","7","13","150"
"Gabe Alvarez","alvarga01","1998","1","DET","AL","58","58","199","16","46","11","0","5","29","1","3","18","65","1","2","0","2","2","58"
"Rich Amaral","amarari01","1995","1","SEA","AL","90","90","238","45","67","14","2","2","19","21","2","21","33","0","1","1","0","3","90"
"Rich Amaral","amarari01","1996","1","SEA","AL","118","118","312","69","91","11","3","1","29","25","6","47","55","0","5","4","1","6","118"
"Rich Amaral","amarari01","1997","1","SEA","AL","89","89","190","34","54","5","0","1","21","12","8","10","34","0","3","5","2","7","89"
"Ruben Amaro","amaroru02","1995","1","CLE","AL","28","28","60","5","12","3","0","1","7","1","3","4","6","0","2","2","0","1","28"
"Ruben Amaro","amaroru02","1996","1","PHI","NL","61","61","117","14","37","10","0","2","15","0","0","9","18","0","3","1","0","3","61"
"Ruben Amaro","amaroru02","1997","1","PHI","NL","117","117","175","18","41","6","1","2","21","1","1","21","24","0","2","0","2","4","117"
"Brady Anderson","anderbr01","1995","1","BAL","AL","143","143","554","108","145","33","10","16","64","26","7","87","111","4","10","4","2","3","143"
"Brady Anderson","anderbr01","1996","1","BAL","AL","149","149","579","117","172","37","5","50","110","21","8","76","106","1","22","6","4","11","149"
"Brady Anderson","anderbr01","1997","1","BAL","AL","151","151","590","97","170","39","7","18","73","18","12","84","105","6","19","2","1","1","151"
"Brady Anderson","anderbr01","1998","1","BAL","AL","133","133","479","84","113","28","3","18","51","21","7","75","78","1","15","4","1","7","133"
"Garret Anderson","anderga01","1995","1","CAL","AL","106","106","374","50","120","19","1","16","69","6","2","19","65","4","1","2","4","8","106"
"Garret Anderson","anderga01","1996","1","CAL","AL","150","150","607","79","173","33","2","12","72","7","9","27","84","5","0","5","3","22","150"
"Garret Anderson","anderga01","1997","1","ANA","AL","154","154","624","76","189","36","3","8","92","10","4","30","70","6","2","1","5","20","154"
"Garret Anderson","anderga01","1998","1","ANA","AL","156","156","622","62","183","41","7","15","79","8","3","29","80","8","1","3","3","13","156"
"Shane Andrews","andresh01","1995","1","MON","NL","84","84","220","27","47","10","1","8","31","1","1","17","68","2","1","1","2","4","84"
"Shane Andrews","andresh01","1996","1","MON","NL","127","127","375","43","85","15","2","19","64","3","1","35","119","8","2","0","2","2","127"
"Shane Andrews","andresh01","1997","1","MON","NL","18","18","64","10","13","3","0","4","9","0","0","3","20","0","0","0","2","0","18"
