yearID,Team,Stadium,Capacity,City,City Population,Avg Attendance
1997,ANA,Angel Stadium,45050,Anaheim,292989,21553
1998,ANA,Angel Stadium,45050,Anaheim,297741,31102
1999,ANA,Angel Stadium,45050,Anaheim,300650,27816
2000,ANA,Angel Stadium,45050,Anaheim,328611,25518
2001,ANA,Angel Stadium,45050,Anaheim,331120,24703
2002,ANA,Angel Stadium,45050,Anaheim,332672,28464
2003,ANA,Angel Stadium,45050,Anaheim,334029,37330
2004,ANA,Angel Stadium,45050,Anaheim,334392,41675
1998,ARI,Chase Field,49033,Phoenix,1199173,44571
1999,ARI,Chase Field,49033,Phoenix,1211466,37280
2000,ARI,Chase Field,49033,Phoenix,1326682,36324
2001,ARI,Chase Field,49033,Phoenix,1342908,33783
2002,ARI,Chase Field,49033,Phoenix,1357196,39494
2003,ARI,Chase Field,49033,Phoenix,1368806,34636
2004,ARI,Chase Field,49033,Phoenix,1386945,31106
2005,ARI,Chase Field,49033,Phoenix,1417720,25425
2006,ARI,Chase Field,49033,Phoenix,1441241,25823
2007,ARI,Chase Field,49033,Phoenix,1450901,28707
2008,ARI,Chase Field,49033,Phoenix,1456729,30987
2009,ARI,Chase Field,49033,Phoenix,1452679,26281
2010,ARI,Chase Field,49033,Phoenix,1445632,25391
1995,ATL,Atlanta Fulton County,52013,Atlanta,400620,35581
1996,ATL,Atlanta Fulton County,52013,Atlanta,400727,35818
1997,ATL,Turner Field,49381,Atlanta,401072,42771
1998,ATL,Turner Field,49381,Atlanta,403048,41492
1999,ATL,Turner Field,49381,Atlanta,401726,40554
2000,ATL,Turner Field,49381,Atlanta,417534,39930
2001,ATL,Turner Field,49381,Atlanta,414692,34858
2002,ATL,Turner Field,49381,Atlanta,407646,32142
2003,ATL,Turner Field,49381,Atlanta,403080,29643
2004,ATL,Turner Field,49381,Atlanta,397365,28735
2005,ATL,Turner Field,49381,Atlanta,396311,31126
2006,ATL,Turner Field,49381,Atlanta,403548,31488
2007,ATL,Turner Field,49381,Atlanta,410086,33891
2008,ATL,Turner Field,49381,Atlanta,414233,31270
2009,ATL,Turner Field,49381,Atlanta,417090,29304
2010,ATL,Turner Field,49381,Atlanta,420003,30989
1995,BAL,Camden Yards,45971,Baltimore,687287,43034
1996,BAL,Camden Yards,45971,Baltimore,671828,44475
1997,BAL,Camden Yards,45971,Baltimore,657604,45816
1998,BAL,Camden Yards,45971,Baltimore,645664,45490
1999,BAL,Camden Yards,45971,Baltimore,632681,42385
2000,BAL,Camden Yards,45971,Baltimore,649086,40704
2001,BAL,Camden Yards,45971,Baltimore,640733,38686
2002,BAL,Camden Yards,45971,Baltimore,634115,33117
2003,BAL,Camden Yards,45971,Baltimore,629033,30303
2004,BAL,Camden Yards,45971,Baltimore,624222,33877
